"TARIM, ORMANCILIK VE BALIKÇILIK",,
219,TOASO,TOFAŞ TÜRK OTOMOBİL FABRİKASI A.Ş.
220,TUCLK,TUĞÇELİK ALÜMİNYUM VE METAL MAMÜLLERİ SANAYİ VE TİCARET A.Ş.
221,TUKAS,TUKAŞ GIDA SANAYİ VE TİCARET A.Ş.
222,MARBL,TUREKS TURUNÇ MADENCİLİK İÇ VE DIŞ TİCARET A.Ş.
223,TRILC,TURK İLAÇ VE SERUM SANAYİ A.Ş.
224,TMSN,TÜMOSAN MOTOR VE TRAKTÖR SANAYİ A.Ş.
225,TUPRS,TÜPRAŞ-TÜRKİYE PETROL RAFİNERİLERİ A.Ş.
226,PRKAB,TÜRK PRYSMİAN KABLO VE SİSTEMLERİ A.Ş.
227,TTRAK,TÜRK TRAKTÖR VE ZİRAAT MAKİNELERİ A.Ş.
228,TBORG,TÜRK TUBORG BİRA VE MALT SANAYİİ A.Ş.
229,ULUSE,ULUSOY ELEKTRİK İMALAT TAAHHÜT VE TİCARET A.Ş.
230,ULUUN,ULUSOY UN SANAYİ VE TİCARET A.Ş.
231,USAK,UŞAK SERAMİK SANAYİ A.Ş.
232,ULKER,ÜLKER BİSKÜVİ SANAYİ A.Ş.
233,VANGD,VANET GIDA SANAYİ İÇ VE DIŞ TİCARET A.Ş.
234,VESBE,VESTEL BEYAZ EŞYA SANAYİ VE TİCARET A.Ş.
235,VESTL,VESTEL ELEKTRONİK SANAYİ VE TİCARET A.Ş.
236,VKING,VİKİNG KAĞIT VE SELÜLOZ A.Ş.
237,YATAS,YATAŞ YATAK VE YORGAN SANAYİ TİCARET A.Ş.
238,YYLGD,YAYLA AGRO GIDA SANAYİ VE TİCARET A.Ş.
239,YBTAS,YİBİTAŞ YOZGAT İŞÇİ BİRLİĞİ İNŞAAT MALZEMELERİ TİCARET VE SANAYİ A.Ş.
240,YIGIT,YİĞİT AKÜ MALZEMELERİ NAKLİYAT TURİZM İNŞAAT SANAYİ VE TİCARET A.Ş.
241,YONGA,YONGA MOBİLYA SANAYİ VE TİCARET A.Ş.
242,YKSLN,YÜKSELEN ÇELİK A.Ş.
243,YUNSA,YÜNSA YÜNLÜ SANAYİ VE TİCARET A.Ş.


ELEKTRİK GAZ VE SU,,
Sıra,Kod,Şirket Unvanı
1,A1YEN,A1 YENİLENEBİLİR ENERJİ ÜRETİM A.Ş.
2,AHGAZ,AHLATCI DOĞAL GAZ DAĞITIM ENERJİ VE YATIRIM A.Ş.
3,AKENR,AKENERJİ ELEKTRİK ÜRETİM A.Ş.
4,AKFYE,AKFEN YENİLENEBİLİR ENERJİ A.Ş.
5,AKSEN,AKSA ENERJİ ÜRETİM A.Ş.
6,AKSUE,AKSU ENERJİ VE TİCARET A.Ş.
